"","station","Från Datum Tid (UTC)","Till Datum Tid (UTC)","year","month","Rain","Kvalitet","Latitude","Longitude"
"77","Faaroo.csv","1888-03-01 07:00:01","1888-04-01 07:00:00","1888","03",20,"G",57.95481,19.2459
"78","Faaroo.csv","1888-04-01 07:00:01","1888-05-01 07:00:00","1888","04",10,"G",57.95481,19.2459
"79","Faaroo.csv","1888-05-01 07:00:01","1888-06-01 07:00:00","1888","05",18,"G",57.95481,19.2459
"80","Faaroo.csv","1888-06-01 07:00:01","1888-07-01 07:00:00","1888","06",16,"G",57.95481,19.2459
"81","Faaroo.csv","1888-07-01 07:00:01","1888-08-01 07:00:00","1888","07",53,"G",57.95481,19.2459
"82","Faaroo.csv","1888-08-01 07:00:01","1888-09-01 07:00:00","1888","08",23,"G",57.95481,19.2459
"83","Faaroo.csv","1888-09-01 07:00:01","1888-10-01 07:00:00","1888","09",32,"G",57.95481,19.2459
"84","Faaroo.csv","1888-10-01 07:00:01","1888-11-01 07:00:00","1888","10",61,"G",57.95481,19.2459
"85","Faaroo.csv","1888-11-01 07:00:01","1888-12-01 07:00:00","1888","11",10,"G",57.95481,19.2459
"86","Faaroo.csv","1888-12-01 07:00:01","1889-01-01 07:00:00","1888","12",26,"G",57.95481,19.2459
"87","Faaroo.csv","1889-01-01 07:00:01","1889-02-01 07:00:00","1889","01",8,"G",57.95481,19.2459
"88","Faaroo.csv","1889-02-01 07:00:01","1889-03-01 07:00:00","1889","02",14,"G",57.95481,19.2459
"89","Faaroo.csv","1889-03-01 07:00:01","1889-04-01 07:00:00","1889","03",15,"G",57.95481,19.2459
"90","Faaroo.csv","1889-04-01 07:00:01","1889-05-01 07:00:00","1889","04",11,"G",57.95481,19.2459
"91","Faaroo.csv","1889-05-01 07:00:01","1889-06-01 07:00:00","1889","05",7,"G",57.95481,19.2459
"92","Faaroo.csv","1889-06-01 07:00:01","1889-07-01 07:00:00","1889","06",2,"G",57.95481,19.2459
"93","Faaroo.csv","1889-07-01 07:00:01","1889-08-01 07:00:00","1889","07",90,"G",57.95481,19.2459
"94","Faaroo.csv","1889-08-01 07:00:01","1889-09-01 07:00:00","1889","08",67,"G",57.95481,19.2459
"95","Faaroo.csv","1889-09-01 07:00:01","1889-10-01 07:00:00","1889","09",55,"G",57.95481,19.2459
"96","Faaroo.csv","1889-10-01 07:00:01","1889-11-01 07:00:00","1889","10",27,"G",57.95481,19.2459
"97","Faaroo.csv","1889-11-01 07:00:01","1889-12-01 07:00:00","1889","11",49,"G",57.95481,19.2459
"98","Faaroo.csv","1889-12-01 07:00:01","1890-01-01 07:00:00","1889","12",20,"G",57.95481,19.2459
"99","Faaroo.csv","1890-01-01 07:00:01","1890-02-01 07:00:00","1890","01",22,"G",57.95481,19.2459
"100","Faaroo.csv","1890-02-01 07:00:01","1890-03-01 07:00:00","1890","02",13,"G",57.95481,19.2459
"101","Faaroo.csv","1890-03-01 07:00:01","1890-04-01 07:00:00","1890","03",27,"G",57.95481,19.2459
"102","Faaroo.csv","1890-04-01 07:00:01","1890-05-01 07:00:00","1890","04",87,"G",57.95481,19.2459
"103","Faaroo.csv","1890-05-01 07:00:01","1890-06-01 07:00:00","1890","05",20,"G",57.95481,19.2459
"104","Faaroo.csv","1890-06-01 07:00:01","1890-07-01 07:00:00","1890","06",26,"G",57.95481,19.2459
"105","Faaroo.csv","1890-07-01 07:00:01","1890-08-01 07:00:00","1890","07",39,"G",57.95481,19.2459
"106","Faaroo.csv","1890-08-01 07:00:01","1890-09-01 07:00:00","1890","08",123,"G",57.95481,19.2459
"107","Faaroo.csv","1890-09-01 07:00:01","1890-10-01 07:00:00","1890","09",10,"G",57.95481,19.2459
"108","Faaroo.csv","1890-10-01 07:00:01","1890-11-01 07:00:00","1890","10",75,"G",57.95481,19.2459
"109","Faaroo.csv","1890-11-01 07:00:01","1890-12-01 07:00:00","1890","11",45,"G",57.95481,19.2459
